<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2S,20100104,3.1,3.14,3.1,3.1,379500
2S,20100105,3.1,3.12,3.1,3.1,107900
2S,20100106,3.1,3.1,3.1,3.1,196100
2S,20100107,3.1,3.1,3.08,3.08,158200
2S,20100108,3.1,3.2,3.08,3.08,514600
2S,20100111,3.1,3.16,3.08,3.1,435300
2S,20100112,3.1,3.14,3.08,3.08,234600
2S,20100113,3.1,3.14,3.1,3.1,152900
2S,20100114,3.12,3.14,3.1,3.1,113200
2S,20100115,3.12,3.12,3.08,3.08,81100
2S,20100118,3.08,3.1,3.08,3.08,104900
2S,20100119,3.12,3.12,3.06,3.1,269400
2S,20100120,3.1,3.16,3.08,3.1,652800
2S,20100121,3.08,3.12,3.04,3.12,141100
2S,20100122,3.08,3.08,3.06,3.06,85500
2S,20100125,3.06,3.08,3.06,3.08,129700
2S,20100127,3.06,3.06,3.02,3.02,756500
2S,20100128,3.02,3.04,3,3,491900
2S,20100129,3,3.04,3,3.02,527900
2S,20100201,3.02,3.04,3.02,3.02,113500
2S,20100202,3.04,3.04,3.02,3.02,100000
2S,20100203,3.06,3.06,3.04,3.04,26000
2S,20100204,3.06,3.06,3.04,3.04,71000
2S,20100205,3,3.02,3,3,249300
2S,20100208,3.04,3.1,3.04,3.06,535000
2S,20100210,3.06,3.06,3.04,3.04,15000
2S,20100211,3.04,3.08,3.04,3.08,42000
2S,20100212,3.08,3.08,3.06,3.08,49000
2S,20100215,3.06,3.06,3.06,3.06,35003
2S,20100216,3.08,3.08,3.06,3.08,2800
2S,20100217,3.08,3.08,3.06,3.06,40101
2S,20100218,3.12,3.42,3.12,3.34,5322291
2S,20100219,3.34,3.46,3.2,3.2,5324100
2S,20100222,3.22,3.3,3.16,3.16,1571300
2S,20100223,3.16,3.22,3.08,3.14,1115900
2S,20100224,3.14,3.2,3.1,3.1,458800
2S,20100225,3.18,3.28,3,3.04,5671501
2S,20100226,3.06,3.08,3.02,3.06,1395700
2S,20100302,3.06,3.12,3.06,3.1,683600
2S,20100303,3.1,3.12,3.08,3.1,239900
2S,20100304,3.08,3.14,3.08,3.1,269300
2S,20100305,3.12,3.14,3.08,3.1,648200
2S,20100308,3.1,3.12,3.08,3.12,392900
2S,20100309,3.1,3.12,3.06,3.06,394100
2S,20100310,3.08,3.08,3.06,3.08,11600
2S,20100311,3.1,3.1,3.1,3.1,51500
2S,20100312,3.08,3.1,3.08,3.08,72100
2S,20100315,3.06,3.08,3.02,3.06,118900
2S,20100316,3.1,3.16,3.1,3.16,444000
2S,20100317,3.14,3.18,3.1,3.16,143500
2S,20100318,3.16,3.18,3.14,3.14,177400
2S,20100319,3.16,3.3,3.16,3.18,1567900
2S,20100322,3.18,3.2,3.16,3.16,568000
2S,20100323,3.18,3.22,3.16,3.16,295400
2S,20100324,3.2,3.2,3.16,3.16,92700
2S,20100325,3.18,3.22,3.14,3.18,808300
2S,20100326,3.2,3.22,3.18,3.18,407300
2S,20100329,3.18,3.28,3.18,3.22,1476000
2S,20100330,3.28,3.32,3.26,3.26,1258000
2S,20100331,3.3,3.36,3.26,3.26,583700
2S,20100401,3.26,3.28,3.26,3.26,311700
2S,20100402,3.28,3.34,3.26,3.28,583400
2S,20100405,3.28,3.54,3.28,3.38,3684500
2S,20100407,3.5,3.5,3.38,3.4,778300
2S,20100408,3.4,3.46,3.32,3.36,670000
2S,20100409,3.32,3.36,3.32,3.34,66000
2S,20100412,3.2,3.24,3.18,3.2,617200
2S,20100416,3.2,3.24,3.2,3.24,117102
2S,20100419,3.24,3.24,3.2,3.22,139800
2S,20100420,3.22,3.3,3.22,3.3,210000
2S,20100421,3.28,3.34,3.24,3.34,205700
2S,20100422,3.34,3.4,3.34,3.36,269900
2S,20100423,3.34,3.38,3.32,3.34,293600
2S,20100426,3.06,3.3,3,3.3,731100
2S,20100427,3.16,3.18,3.1,3.1,320200
2S,20100428,3.08,3.12,3.08,3.08,38200
2S,20100429,3.1,3.12,3.1,3.12,29900
2S,20100430,3.08,3.1,3.08,3.1,9300
2S,20100504,3.12,3.14,3.12,3.14,258698
2S,20100506,3.16,3.18,3.14,3.16,343100
2S,20100507,3.14,3.14,3.12,3.12,101400
2S,20100510,3.16,3.16,3.14,3.14,37800
2S,20100511,3.14,3.14,3.12,3.12,140300
2S,20100512,3.14,3.16,3.12,3.12,28000
2S,20100513,3.16,3.16,3.12,3.12,70100
2S,20100514,3.1,3.12,3.08,3.1,112000
2S,20100517,3.04,3.08,3.04,3.08,613100
